Date,Open,High,Low,Close,Adj Close,Volume,Dividends,StockSplits
2024-10-02,4100.990234375,4128.64013671875,4072.239990234375,4125.009765625,4102.68310546875,164500,0.0,0.0
2024-10-03,4080.0,4113.5400390625,4060.97998046875,4104.1201171875,4081.90625,120600,0.0,0.0
2024-10-04,4164.759765625,4196.7998046875,4134.31982421875,4187.7001953125,4165.03369140625,167600,0.0,0.0
2024-10-07,4175.8701171875,4256.27978515625,4159.4599609375,4169.81982421875,4147.25,184500,0.0,0.0
2024-10-08,4180.0,4260.0,4180.0,4233.18017578125,4210.26806640625,160900,0.0,0.0
2024-10-09,4229.0,4304.77001953125,4227.27001953125,4292.0,4268.76904296875,153900,0.0,0.0
2024-10-10,4289.0,4308.0,4267.240234375,4288.22021484375,4265.009765625,124400,0.0,0.0
2024-10-11,4300.0,4328.5400390625,4277.85986328125,4284.72998046875,4261.53857421875,125000,0.0,0.0
2024-10-14,4297.419921875,4318.18994140625,4284.10009765625,4297.72021484375,4274.45849609375,139800,0.0,0.0
2024-10-15,4278.35009765625,4371.169921875,4274.509765625,4307.77001953125,4284.45361328125,182800,0.0,0.0
2024-10-16,4300.41015625,4355.919921875,4278.85009765625,4337.27001953125,4313.79443359375,124000,0.0,0.0
2024-10-17,4360.0,4394.9501953125,4357.02001953125,4370.77001953125,4347.11328125,148700,0.0,0.0
2024-10-18,4370.77001953125,4377.77001953125,4334.5,4350.81982421875,4327.2705078125,146100,0.0,0.0
2024-10-21,4323.22998046875,4376.10986328125,4323.22998046875,4363.72021484375,4340.10107421875,132300,0.0,0.0
2024-10-22,4331.72998046875,4395.0,4330.83984375,4377.77978515625,4354.08447265625,124200,0.0,0.0
2024-10-23,4354.10009765625,4370.33984375,4270.60009765625,4313.009765625,4289.6650390625,177800,0.0,0.0
2024-10-24,4300.080078125,4341.2900390625,4289.330078125,4338.72998046875,4315.24609375,159800,0.0,0.0
2024-10-25,4375.0,4375.0,4334.16015625,4347.81982421875,4324.28662109375,149600,0.0,0.0
2024-10-28,4379.990234375,4379.990234375,4320.080078125,4347.58984375,4324.05810546875,215300,0.0,0.0
2024-10-29,4332.2099609375,4440.8701171875,4332.2099609375,4427.5400390625,4403.57568359375,201900,0.0,0.0
