Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-08-31,403.70982554787895,404.8188495548491,402.4256674861071,402.5910339355469,4751100,0.0,0.0,0.0
2023-09-01,405.14961640503645,405.55822295217916,401.9878811115313,403.4471435546875,3588000,0.0,0.0,0.0
2023-09-05,402.95102176788976,403.2136783244299,401.5598356502324,401.6863098144531,4426700,0.0,0.0,0.0
2023-09-06,400.9080394327414,400.9372234939284,396.7539866949141,398.9136962890625,3744100,0.0,0.0,0.0
2023-09-07,396.1119157579404,398.31051752131884,395.8103075570875,397.726806640625,2245800,0.0,0.0,0.0
2023-09-08,397.717110125463,399.6822394699416,397.3960557716809,398.2716369628906,4124400,0.0,0.0,0.0
2023-09-11,400.69399929972553,401.1804200952843,399.1471847325008,400.8885498046875,3346600,0.0,0.0,0.0
2023-09-12,399.5460615887751,400.95666411172994,398.17435135435323,398.73858642578125,7595300,0.0,0.0,0.0
2023-09-13,398.8942499612183,400.22703823609567,397.8824863592503,399.20556640625,2529700,0.0,0.0,0.0
2023-09-14,401.46254252571947,403.25256744638637,400.2464905669429,402.65911865234375,3660900,0.0,0.0,0.0
2023-09-15,401.14148728013294,401.4625416222378,397.38633309049067,397.6392517089844,4004000,0.0,0.0,0.0
2023-09-18,397.483577598216,399.1957881842445,397.0750007830384,398.0770263671875,3014600,0.0,0.0,0.0
2023-09-19,397.1333765810426,397.7073495297867,394.6915348033412,397.279296875,3623300,0.0,0.0,0.0
2023-09-20,398.3397050368939,398.7093895874997,393.34902298125394,393.56304931640625,4009400,0.0,0.0,0.0
2023-09-21,390.88775981141686,391.1309702218741,386.8893949141093,387.1131591796875,4633100,0.0,0.0,0.0
2023-09-22,387.96922422788856,389.4576707114466,385.79006851046245,386.17919921875,7204200,0.0,0.0,0.0
2023-09-25,385.0118183772624,387.81360706107534,384.6323958856427,387.7843933105469,3227900,0.0,0.0,0.0
2023-09-26,384.9728336843105,385.5954367966372,381.31494019980596,382.0932312011719,5734700,0.0,0.0,0.0
2023-09-27,383.14392030412876,383.6790009808033,378.87316125067974,382.1808166503906,4837700,0.0,0.0,0.0
2023-09-28,381.7052078515201,386.00203443269436,381.17786096775836,384.4102783203125,4065800,1.493,0.0,0.0
2023-09-29,387.32044163225606,387.4376232225817,382.12517257958405,383.49237060546875,5766600,0.0,0.0,0.0
2023-10-02,382.7111088587229,384.5275129078683,380.82636875017226,383.46307373046875,5886200,0.0,0.0,0.0
2023-10-03,381.4220614489693,382.74041397258577,376.9787571752602,378.306884765625,6886700,0.0,0.0,0.0
2023-10-04,378.63889913155106,381.685739672634,377.34006697397956,381.09002685546875,4333700,0.0,0.0,0.0
2023-10-05,380.7482409003578,381.6271325878417,377.87717286642123,380.76776123046875,3329100,0.0,0.0,0.0
2023-10-06,378.59980206150647,386.80284058842204,377.34981552218625,385.3087158203125,4897200,0.0,0.0,0.0
2023-10-09,383.5607281479376,388.3653822346167,383.1115220925191,387.8771057128906,2959500,0.0,0.0,0.0
2023-10-10,388.4434637462385,392.26178943123136,388.0723986517289,389.8789978027344,3289600,0.0,0.0,0.0
2023-10-11,390.8848294020259,391.6856099547361,388.65828992031663,391.52935791015625,4181800,0.0,0.0,0.0
2023-10-12,392.06649100629016,392.37896530227016,386.91029259723183,389.1758728027344,3872900,0.0,0.0,0.0
2023-10-13,390.43559019702263,391.5586200072791,385.69930294295574,387.1250915527344,3769800,0.0,0.0,0.0
2023-10-16,389.2247200097912,392.1836742833938,389.0001021004965,391.1778259277344,5150900,0.0,0.0,0.0
2023-10-17,388.30677805504445,393.0625864444445,387.9942739394206,391.1875915527344,4214600,0.0,0.0,0.0
2023-10-18,389.53720940736724,390.43562140657605,384.9766941481976,385.9532470703125,7329300,0.0,0.0,0.0
2023-10-19,386.68566619992026,388.27745224956135,381.96892864486443,382.6817932128906,6708900,0.0,0.0,0.0
2023-10-20,382.2033420109539,382.6330277422135,377.7697827667943,377.916259765625,7549600,0.0,0.0,0.0
2023-10-23,376.44164091455093,380.7970587156416,374.8498548418707,377.2521667480469,5537100,0.0,0.0,0.0
2023-10-24,379.17596007160995,381.1095455487235,377.4865128203024,380.07440185546875,4451500,0.0,0.0,0.0
2023-10-25,378.5119401542276,378.5900512795573,374.13697208496905,374.713134765625,5471200,0.0,0.0,0.0
2023-10-26,373.65841695886485,374.41035191496553,369.2834495183935,370.113525390625,6959400,0.0,0.0,0.0
2023-10-27,371.6076880097012,371.95926256415765,367.1350886701095,368.47296142578125,5638800,0.0,0.0,0.0
2023-10-30,371.00223377466153,373.8244562952239,369.8303583171218,372.906494140625,5795800,0.0,0.0,0.0
2023-10-31,373.38505039745274,375.4651130830028,371.6370121600045,375.1623840332031,4523200,0.0,0.0,0.0
2023-11-01,376.0607337854994,379.9571701240312,375.60175275348473,379.2931213378906,5549200,0.0,0.0,0.0
2023-11-02,382.7403570636826,386.62704819345475,382.73061180041606,386.5000915527344,4752200,0.0,0.0,0.0
2023-11-03,388.58996055671025,391.4512535299024,388.5118196320596,390.0743103027344,5981400,0.0,0.0,0.0
2023-11-06,390.73834672424266,391.33405949814124,389.11726531265555,390.82623291015625,4007100,0.0,0.0,0.0
2023-11-07,390.8750540503854,392.61331693474074,389.86920580497804,391.9297180175781,3358600,0.0,0.0,0.0
2023-11-08,392.56451897867396,393.0625705301573,390.1915024134267,392.2520446777344,3731900,0.0,0.0,0.0
2023-11-09,393.3653000218756,393.4336658823606,388.8731503930703,389.2930908203125,4145600,0.0,0.0,0.0
2023-11-10,391.19734759722746,395.6113562581567,389.7813636830906,395.3672180175781,3992800,0.0,0.0,0.0
2023-11-13,394.12697641201277,395.9824209384319,393.3750414171352,394.9668273925781,2872900,0.0,0.0,0.0
2023-11-14,400.4257787105656,403.81441862855166,400.2793017289298,402.5546569824219,6973100,0.0,0.0,0.0
2023-11-15,403.8437285978341,404.9960539643261,402.70114849578226,403.4335632324219,4414800,0.0,0.0,0.0
2023-11-16,403.0624571879782,404.24410772121905,402.09567929899123,403.9999694824219,3798900,0.0,0.0,0.0
2023-11-17,404.23432227402776,405.0643982250276,403.1894034863224,404.59564208984375,4696200,0.0,0.0,0.0
2023-11-20,404.2831118085779,408.39442083545646,404.27336654528875,407.6424560546875,3517600,0.0,0.0,0.0
2023-11-21,406.6366242374834,407.0663099004331,405.562410080109,406.5780334472656,5248200,0.0,0.0,0.0
2023-11-22,408.2674800914376,409.4783961568268,407.2811521208696,408.3358459472656,3692800,0.0,0.0,0.0
2023-11-24,408.3846829427209,408.67763690862876,408.04288344780764,408.5604553222656,1351300,0.0,0.0,0.0
2023-11-27,407.9940416708672,408.7166812753209,407.4471744347353,407.8475646972656,3632600,0.0,0.0,0.0
2023-11-28,407.46672487064797,409.41983080172355,406.93937792468876,408.2479553222656,3382400,0.0,0.0,0.0
2023-11-29,410.2108229440104,411.2459666695653,407.58389316820677,407.9842834472656,4092600,0.0,0.0,0.0
2023-11-30,408.7264629827054,409.85926793368077,406.8026525593987,409.5662841796875,4405700,0.0,0.0,0.0
2023-12-01,409.009673577344,412.46667948866667,408.44328595896206,411.9686279296875,4973600,0.0,0.0,0.0
2023-12-04,408.83387631709206,410.0252720783326,407.7108464131266,409.8983154296875,5806100,0.0,0.0,0.0
2023-12-05,408.5311203821036,410.6111827448042,408.1990959855358,409.7713317871094,3419300,0.0,0.0,0.0
